Air Temprature,Atmospresure station,Atmospresure sea,Relative humidity,mean wind speed,Min Temprature,Maximum Temprature ,Horizontol Visibility ,Dew Pount Temprature,Class
13.3,746,758.5,77,4,11.7,14.4,16,9.4,Rain
15,747.7,760.4,62,2,9.4,15,16,7.8,Rain
14.4,752.2,764.9,72,6,10,15.6,16,9.4,Rain
12.8,746.2,759,77,4,11.1,14.4,16,8.9,Rain
12.2,749.2,762,75,3,11.7,15.6,16,7.8,Rain
16.1,751,763.6,72,10,11.7,16.1,16,11.1,Rain
14.4,748.5,760.9,87,3,14.4,23.3,11,12.2,Rain
14.4,753.8,766.5,81,4,13.9,16.7,16,11.1,Rain
14.4,752.5,765.1,90,4,13.9,18.3,16,12.8,Rain
20,749.5,762,68,4,15,20.6,16,13.9,Rain
17.2,749.5,762,84,4,15.6,20.6,16,14.4,Rain
16.7,748,760.5,86,5,14.4,17.2,16,14.4,Rain
17.2,751.8,764.5,78,3,13.3,17.8,16,13.3,Rain
15,757,769.6,78,4,11.1,19.4,16,11.1,Rain
13.9,755,767.7,87,4,11.7,13.9,16,11.7,Rain
13.9,752.2,765,83,4,12.8,16.1,16,11.1,Rain
13.9,750.7,763.4,72,7,10,18.3,16,8.9,Rain
16.7,748.3,760.9,65,7,13.9,19.4,16,10,Rain
16.1,751.8,764.8,67,7,15,17.2,16,10,Rain
12.1,748.5,761.2,72,6,8.6,23.3,16,-10,Rain
9.4,752.5,765.1,90,5,9.4,17.8,16,7.8,Rain
11.7,747.5,760,86,5,11.7,15,16,9.4,Rain
10.6,749.5,762.1,74,3,10,17.2,16,6.1,Rain
10,753.3,765.9,86,4,8.9,11.7,16,7.8,Rain
11.7,749.8,762.4,86,5,10.6,16.1,16,9.4,Rain
9.4,750.7,763.5,83,4,6.7,14.4,16,6.7,Rain
13.9,747,759.8,47,0,6.7,13.9,16,2.8,Rain
13.3,753,765.7,60,5,8.9,13.3,16,5.6,Rain
9.4,746.2,759,83,2,5.6,14.4,16,6.7,Rain
9.4,756.5,769.3,77,5,7.8,9.4,16,5.6,Rain
8.9,746.2,758.8,93,0,8.9,16.1,16,7.8,Rain
5.6,743.8,756.4,82,4,5.6,9.4,16,2.8,Rain
6.1,738.5,751,93,2,6.1,15.6,16,5,Rain
11.1,749,761.6,77,4,8.9,11.1,16,7.2,Rain
10,733.5,745.9,68,5,7.2,10,16,4.4,Rain
8.9,752.5,765.4,93,5,6.7,10,16,7.8,Rain
11.1,752.2,765.1,86,0,7.2,12.8,16,8.9,Rain
10.6,754.3,767.2,74,4,6.1,13.9,16,6.1,Rain
5,753.8,766.8,86,2,3.3,7.2,16,2.8,Rain
7.2,754,767,90,5,5.6,7.2,16,5.6,Rain
6.1,747.5,760.2,82,2,6.1,11.1,16,3.3,Rain
8.9,749,761.8,80,3,5.6,10.6,16,5.6,Rain
2.8,740.5,753.1,93,6,1.7,2.8,8,1.7,Rain
2.8,761.5,774.7,89,2,2.2,4.4,16,1.1,Rain
4.4,746.8,759.6,89,0,8.6,5,16,2.8,Rain
6.1,753.5,766.6,86,4,1.1,6.1,16,3.9,Rain
5.6,738,750.6,89,2,5,11.7,16,3.9,Rain
8.9,740,752.5,68,5,7.8,12.2,16,3.3,Rain
4.4,754,767,83,4,8.6,5.6,11,1.7,Rain
6.1,752.8,765.7,86,7,4.4,6.7,16,3.9,Rain
7.8,752.5,765.4,93,4,6.7,10,4.8,6.7,Rain
10.6,752,764.9,66,3,7.2,10.6,16,4.4,Rain
9.4,748.3,760.9,90,0,8.9,10.6,16,7.8,Rain
11.7,748.8,761.5,89,3,11.1,15.2,16,10,Rain
13.3,753.8,766.3,90,3,13.3,16.7,16,11.7,Rain
14.4,748.8,761.2,90,2,12.2,15.6,16,12.8,Rain
13.3,756.3,769,93,3,12.2,15,2.4,12.2,Rain
18.9,749,761.6,75,3,12.8,19.4,16,14.4,Rain
14.4,752.5,765.1,87,3,13.9,18.3,14,12.2,Rain
13.9,750,762.6,83,4,13.9,22.2,16,11.1,Rain
18.3,749.8,762.4,68,5,12.8,18.3,16,12.2,Rain
14.4,753.3,766.1,70,4,8.9,18.9,16,8.9,Rain
13.3,745.5,757.9,90,4,13.3,19.4,16,11.7,Rain
16.1,751.8,764.5,78,5,13.9,22.2,12,12.2,Rain
15.6,750.7,763.3,84,2,15.6,22.8,16,12.8,Rain
22.2,750.3,762.7,61,2,18.3,26.7,16,14.4,Rain
12.2,747.7,760.5,87,4,9.4,12.8,16,10,Rain
15,745.8,758.4,67,4,10.6,15.6,16,8.9,Rain
11.7,747.3,759.8,89,3,10.6,13.3,16,10,Rain
11.1,756.3,769.2,89,5,10.6,15.6,8,9.4,Rain
7.2,745,757.6,77,4,6.7,10,16,3.3,Rain
6.7,753.8,766.5,85,3,5,17.2,16,4.4,Rain
3.3,752.8,765.6,93,3,3.3,11.7,11,2.2,Rain
11.1,751.3,763.9,83,6,9.4,17.2,16,8.3,Rain
13.9,756.3,769.3,78,5,7.2,14.4,16,10,Rain
7.2,747.7,760.6,80,0,5.6,11.1,16,3.9,Rain
12.8,752.8,765.4,64,6,9.4,13.3,16,6.1,Rain
11.1,748,760.6,80,5,10,13.9,16,7.8,Rain
12.2,748.8,761.4,80,6,11.1,13.9,16,8.9,Rain
8.3,756.3,769.2,86,3,8.3,10.6,16,6.1,Rain
11.7,759.1,772,83,2,9.4,12.2,16,8.9,Rain
12.8,745,757.7,74,2,8.9,13.3,16,8.3,Rain
13.9,740.8,753.1,55,3,9.4,15,16,5,Rain
7.2,749.8,762.6,90,2,4.4,7.8,12,5.6,Rain
6.7,751.5,764.3,85,3,8.6,7.2,16,4.4,Rain
10.6,752.8,765.6,92,0,9.4,10.6,11,9.4,Rain
8.9,759.1,771.9,93,2,6.7,9.4,0.8,7.8,Rain
8.9,759.8,772.9,89,0,8.3,9.4,16,7.2,Rain
9.4,758.5,771.5,86,3,5.6,9.4,16,7.2,Rain
7.2,757.6,770.4,90,2,8.6,7.2,16,5.6,Rain
4.4,760.8,773.8,93,3,3.3,10,11,3.3,Rain
7.8,749,762,73,6,2.2,7.8,16,3.3,Rain
7.2,755.3,768.1,86,4,7.2,8.9,16,5,Rain
10.6,743.2,755.8,80,7,9.4,12.8,16,7.2,Rain
6.7,745.3,757.9,85,2,6.1,10,16,4.4,Rain
12.2,729.2,741.6,59,7,8.3,13.3,16,4.4,Rain
9.4,750.5,763.2,80,4,7.8,12.8,16,6.1,Rain
6.7,747.7,760.6,89,0,8.6,7.2,16,5,Rain
6.7,745.8,758.4,85,2,3.9,8.3,16,4.4,Rain
13.9,744.5,757.1,74,7,11.7,14.4,16,9.4,Rain
11.7,746.2,758.9,77,6,11.7,15,16,7.8,Rain
13.3,754.3,767.2,90,5,10,13.9,16,11.7,Rain
9.4,748.8,761.4,80,3,6.7,9.4,16,6.1,Rain
7.2,743.8,756.4,86,4,6.7,9.4,16,5,Rain
11.1,742,754.6,77,3,8.3,11.1,16,7.2,Rain
10,748.5,761.4,89,2,5.6,11.1,4.8,8.3,Rain
11.1,747,759.7,80,7,7.8,13.3,12,7.8,Rain
8.9,748.8,761.4,86,5,7.8,12.8,16,6.7,Rain
11.1,756.1,768.9,80,8,11.1,14.4,16,7.8,Rain
11.7,752.2,765,89,6,11.1,15.2,16,10,Rain
11.7,752,764.6,86,5,7.2,11.7,16,9.4,Rain
10,746.8,759.3,77,8,10,16.7,16,6.1,Rain
15,747,759.7,69,4,12.2,16.1,16,9.4,Rain
16.1,744,756.4,78,3,14.4,16.1,16,12.2,Rain
14.4,744.5,757,70,0,12.8,15.2,16,8.9,Rain
12.2,749.8,762.4,72,3,11.7,16.1,16,7.2,Rain
12.2,749.2,761.9,75,5,11.7,14.4,16,7.8,Rain
13.3,749.2,761.9,84,4,11.1,15.6,16,10.6,Rain
15.6,747,759.6,93,4,11.1,16.7,8,14.4,Rain
13.9,748,760.6,87,5,11.7,14.4,12,11.7,Rain
14.4,747.7,760.3,84,3,14.4,21.7,16,11.7,Rain
19.4,745.8,758.2,59,2,15,21.7,16,11.1,Rain
18.3,745.3,757.9,87,3,15,18.9,12,16.1,Rain
17.8,750,762.7,75,4,15.6,18.3,16,13.3,Rain
13.3,749.5,762.1,84,2,13.3,20,16,10.6,Rain
16.1,749.2,761.8,84,4,13.3,17.2,16,13.3,Rain
14.4,747.7,760.2,87,7,13.9,19.4,16,12.2,Rain
19.4,743.5,756,71,5,13.9,19.4,16,13.9,Rain
10.6,746.8,759.5,80,7,10.6,15.6,16,7.2,Rain
13.9,747.3,759.9,78,2,11.1,14.4,16,10,Rain
7.2,742.7,755.5,86,6,7.2,15,16,5,Rain
11.7,746.5,759.1,61,6,8.9,13.9,16,4.4,Rain
10,745.5,758.2,80,5,6.1,11.7,16,6.7,Rain
10,747.5,760.1,77,6,6.1,10,16,6.1,Rain
10,750.5,763.3,80,3,7.8,10.6,16,6.7,Rain
8.3,742.5,755.2,83,4,7.2,11.7,16,5.6,Rain
8.9,743.2,755.8,83,3,6.7,8.9,16,6.1,Rain
3.3,751.8,764.7,89,3,2.8,10.6,16,1.7,Rain
10.6,756.8,769.6,69,2,6.7,15.2,16,5,Rain
11.7,745.5,758.1,77,7,11.1,15.2,16,7.8,Rain
10,747,759.6,89,6,8.9,13.9,16,8.3,Rain
3.3,742.5,755.2,83,5,2.8,7.2,16,0.6,Rain
3.3,750.5,763.6,97,3,3.3,7.2,1.6,2.8,Rain
5,747.7,760.5,89,4,3.9,8.9,16,3.3,Rain
8.3,751.8,764.5,86,5,7.8,10,16,6.1,Rain
8.3,752.2,765,83,6,6.7,8.9,16,5.6,Rain
7.8,749.8,762.5,89,2,7.2,8.3,9,6.1,Rain
4.4,753,766,89,8,4.4,5.6,0.2,2.8,Rain
8.3,755.8,768.8,83,3,0,8.9,16,5.6,Rain
6.1,742.7,755.6,82,3,0.6,6.1,16,3.3,Rain
6.1,750.7,763.6,65,2,5.6,6.7,16,0,Rain
6.7,753,765.9,85,2,6.1,8.3,6,4.4,Rain
7.2,761.8,774.7,86,2,6.7,11.7,16,5,Rain
9.4,744.7,757.2,66,9,9.4,12.2,16,3.3,Rain
12.8,748,760.6,72,10,10,13.3,16,7.8,Rain
7.8,746.8,759.4,68,3,7.2,12.2,16,2.2,Rain
8.9,752,764.9,83,4,8.9,11.1,16,6.1,Rain
10.6,752.8,765.4,80,3,10.6,15,16,7.2,Rain
8.9,754.6,767.5,89,4,8.3,10,1.2,7.2,Rain
10.6,752,764.8,83,0,10.6,13.9,16,7.8,Rain
10.6,748.3,760.9,77,6,10,13.3,16,6.7,Rain
11.7,749.2,762,86,2,11.7,14.4,16,9.4,Rain
17.2,748,760.6,81,5,15.6,17.2,16,13.9,Rain
17.2,743.8,756.2,84,2,14.4,17.2,2,14.4,Rain
20.6,751.3,763.8,68,4,16.7,21.1,11,14.4,Rain
22.2,748.5,760.9,59,2,17.2,22.8,16,13.9,Rain
20,747.7,760.1,61,5,16.7,24.4,16,12.2,Rain
20,747.5,760,59,2,16.1,22.2,16,11.7,Rain
19.4,748.5,761.2,73,2,15,19.4,16,14.4,Rain
17.2,744.5,756.8,76,3,15,19.4,16,12.8,Rain
12.2,753,765.8,90,3,12.2,17.2,4.8,10.6,Rain
17.8,749,761.7,54,2,13.9,18.3,16,8.3,Rain
11.7,753.8,766.4,80,0,11.7,20.6,16,8.3,Rain
11.7,749.2,761.8,80,5,10,15.6,16,8.3,Rain
12.8,744.7,757.4,72,0,11.7,15,16,7.8,Rain
11.7,746,758.7,86,2,11.7,16.7,16,9.4,Rain
11.7,747,759.7,86,3,11.1,18.3,16,9.4,Rain
13.3,750.5,763.3,70,3,8.9,13.9,16,7.8,Rain
11.7,749.5,762.4,69,3,7.2,11.7,16,6.1,Rain
8.9,748.3,761.1,86,0,7.8,11.1,16,6.7,Rain
13.3,751.3,764.1,75,3,9.4,17.2,12,8.9,Rain
16.7,749.8,762.3,84,5,13.3,16.7,16,13.9,Rain
15.6,751.8,764.3,84,3,15.6,27.2,14,12.8,Rain
8.3,752.2,765.1,80,4,6.7,10.6,16,5,Rain
9.4,749.2,761.9,86,7,9.4,13.9,16,7.2,Rain
13.9,753.3,766.1,49,9,10,15,16,3.3,Rain
8.3,755.8,768.7,83,0,7.8,8.9,16,5.6,Rain
11.1,758.3,771.2,57,3,3.9,13.9,16,2.8,Rain
7.8,757.6,770.3,86,2,7.8,8.9,3.2,5.6,Rain
9.4,752.8,765.7,77,4,5.6,9.4,16,5.6,Rain
11.7,746.8,759.4,83,6,10.6,13.9,16,8.9,Rain
12.8,749,761.8,69,3,8.3,13.3,16,7.2,Rain
9.4,753.8,766.6,90,6,8.9,11.7,16,7.8,Rain
6.7,758.3,771.2,63,6,4.4,7.2,16,0,Rain
5,758.8,771.7,73,4,3.9,8.9,16,0.6,Rain
6.1,749.8,762.7,82,5,6.1,6.7,16,3.3,Rain
6.7,749.8,762.6,76,2,1.1,7.8,16,2.8,Rain
6.7,749.7,762.5,76,2,1.1,7.8,16,2.8,Rain
6.1,757.7,770.6,86,1,5,6.7,11,3.9,Rain
6.1,757.8,770.7,86,2,5,6.7,11,3.9,Rain
7.8,750.7,763.6,79,4,6.1,7.8,16,4.4,Rain
7.8,750.7,763.6,79,4,6.1,7.8,16,4.4,Rain
6.7,749.8,762.5,83,5,6.7,10,16,3.9,Rain
6.7,749.7,762.4,82,5,6.7,10,16,3.9,Rain
8.9,759.1,771.9,83,5,7.2,8.9,16,6.1,Rain
8.9,759,771.8,83,4,7.2,8.9,16,6.1,Rain
7.8,759.1,772,96,4,6.7,8.9,0.4,7.2,Rain
7.8,759,772,96,4,6.7,8.9,0.4,7.2,Rain
3.9,750.5,763.5,93,3,3.9,5.6,16,2.8,Rain
3.9,750.4,763.4,93,3,3.9,5.6,16,2.8,Rain
5,751,764,86,6,4.4,5.6,16,2.8,Rain
5,751,764,86,6,4.4,5.6,16,2.8,Rain
4.4,750.4,763.4,93,3,4.4,8.3,8,3.3,Rain
4.4,750.5,763.4,93,3,4.4,8.3,8,3.3,Rain
2.8,751.7,764.6,82,2,1.7,3.3,16,0,Rain
6.7,756.8,769.7,93,3,6.7,15.2,8,5.6,Rain
7.8,752.8,765.4,89,2,7.2,9.4,16,6.1,Rain
9.4,749,761.8,93,9,8.9,10,8,8.3,Rain
5.6,753.3,766.2,85,2,4.4,5.6,16,3.3,Rain
7.2,751.8,764.5,97,5,5,7.8,3.2,6.7,Rain
10,745,757.6,71,4,6.7,10.6,16,5,Rain
7.2,742.7,755.4,80,2,3.9,11.7,11,3.9,Rain
6.1,739.3,751.9,89,6,6.1,15.2,16,4.4,Rain
8.9,749.2,762.1,74,4,6.7,15.2,14,4.4,Rain
10,741.7,754.5,66,0,7.2,10,16,3.9,Rain
4.4,747.3,760.2,89,3,1.7,5,16,2.8,Rain
9.4,740,752.5,86,5,8.9,12.2,16,7.2,Rain
11.1,748.3,761,93,3,10,11.7,16,10,Rain
12.8,743.5,756.1,77,5,10,12.8,16,8.9,Rain
15.6,748.3,760.8,96,4,15.6,24.4,16,15,Rain
12.8,749.8,762.2,90,6,12.8,16.1,16,11.1,Rain
13.3,745.8,758.4,87,5,12.2,15.6,8,11.1,Rain
8.9,744.7,757.3,89,7,8.9,13.3,16,7.2,Rain
10,744,756.7,89,4,8.3,12.8,16,8.3,Rain
11.1,746.5,759.1,86,4,10.6,15.6,11,8.9,Rain
6.7,749.5,762.2,89,5,6.1,9.4,16,5,Rain
11.7,747.3,760,77,8,7.2,12.8,16,7.8,Rain
7.2,747.7,760.3,93,4,6.7,9.4,16,6.1,Rain
8.9,748,760.7,89,8,8.3,13.3,16,7.2,Rain
12.2,743,755.5,83,5,7.8,12.2,16,9.4,Rain
12.2,748.3,760.8,97,5,8.9,13.9,16,11.7,Rain
11.7,755.8,768.7,77,3,7.2,11.7,16,7.8,Rain
8.9,748.3,760.9,93,9,5.6,9.4,16,7.8,Rain
2.2,750.5,763.5,93,4,1.7,15.2,16,1.1,Rain
5.6,756.3,769.2,89,7,5,8.3,16,3.9,Rain
8.3,737.2,749.9,74,9,8.6,8.3,16,3.9,Rain
6.7,759.8,772.9,96,0,6.7,8.9,3.2,6.1,Rain
7.2,738.7,751.5,77,5,5,9.4,16,3.3,Rain
5,736.3,748.9,79,3,5,12.2,16,1.7,Rain
2.8,743,755.8,89,5,-1.6,3.3,16,1.1,Rain
5,757.3,770.2,86,2,3.3,5.6,16,2.8,Rain
4.4,753.3,766.2,83,8,0.6,5,9,1.7,Rain
5,747.7,760.7,89,8,4.4,5.6,16,3.3,Rain
3.3,745.5,758.3,97,6,1.1,2.2,16,2.8,Rain
1.7,750,763,93,3,1.1,3.3,16,0.6,Rain
8.9,746.5,759.3,93,6,8.3,13.9,16,7.8,Rain
12.8,741.7,754.3,55,4,10,13.9,16,3.9,Rain
10,742.5,755.1,63,4,8.9,10.6,16,3.3,Rain
13.3,745,757.6,84,3,12.8,16.1,16,10.6,Rain
10,738.7,751.3,89,3,6.7,11.1,16,8.3,Rain
14.4,748.3,760.9,70,2,11.1,15.6,16,8.9,Rain
11.7,747,759.7,86,3,11.1,13.3,16,9.4,Rain
10,749,761.6,83,3,10,13.3,16,7.2,Rain
15.6,746.8,759.3,90,7,11.1,15.6,16,13.9,Rain
13.9,746.8,759.4,72,5,11.1,13.9,16,8.9,Rain
17.8,754.8,767.5,46,7,8.6,18.9,16,6.1,Rain
16.7,753.8,766.6,78,2,13.9,18.9,14,12.8,Rain
13.3,748.5,761,90,5,13.3,18.9,16,11.7,Rain
16.1,755.5,768.4,78,4,13.9,21.7,16,12.2,Rain
13.9,752.2,764.8,87,0,11.1,15.6,16,11.7,Rain
9.4,749.2,761.9,86,5,8.9,13.9,16,7.2,Rain
11.7,750,762.7,93,3,11.1,12.8,16,10.6,Rain
11.1,749.2,762.1,93,3,11.1,14.4,16,10,Rain
10,749,761.5,93,2,10,27.8,3.2,8.9,Rain
9.4,755.5,768.4,86,2,6.7,9.4,16,7.2,Rain
8.9,754.6,767.4,89,3,8.3,15,16,7.2,Rain
9.4,753.5,766.3,83,4,8.3,10.6,12,6.7,Rain
8.3,744.7,757.5,90,4,7.8,12.8,16,6.7,Rain
8.3,741.7,754.5,80,7,6.7,10,16,5,Rain
6.1,746.8,759.6,89,0,3.9,10,12,4.4,Rain
9.4,738.7,751.2,74,6,7.8,15.6,11,5,Rain
15,729.2,741.4,58,8,8.3,16.7,16,6.7,Rain
7.8,742.3,754.9,79,3,6.7,10.6,16,4.4,Rain
11.7,753,765.7,86,9,7.2,11.7,16,9.4,Rain
4.4,754.6,767.3,79,4,4.4,10,16,1.1,Rain
11.7,756.5,769.4,89,4,8.9,12.2,8,10,Rain
10.6,741,753.4,74,4,9.4,11.7,16,6.1,Rain
5.6,751.3,764,92,2,4.4,8.3,14,4.4,Rain
8.3,747.7,760.6,77,2,6.1,10.6,16,4.4,Rain
8.3,748.5,761.4,86,2,0.6,8.3,16,6.1,Rain
10,739.7,752.3,86,6,7.2,8.9,16,7.8,Rain
6.1,739.3,751.9,82,2,2.2,7.2,16,3.3,Rain
1.7,744.7,757.7,96,3,1.7,15.2,1.6,1.1,Rain
1.7,747.3,760.3,89,3,1.1,4.4,16,0,Rain
6.1,745.5,758.2,86,4,4.4,8.9,16,3.9,Rain
5,756.1,769,79,3,8.6,6.7,16,1.7,Rain
6.7,737,749.7,83,9,6.7,8.9,16,3.9,Rain
6.7,743.2,756.1,79,6,5.6,6.7,16,3.3,Rain
3.9,753.5,766.5,73,0,-3.8,4.4,16,-0.6,Rain
6.7,754.8,767.8,89,3,6.1,8.3,16,5,Rain
8.9,750.7,763.6,80,5,5,10,11,5.6,Rain
8.3,751,763.9,83,0,6.1,9.4,16,5.6,Rain
12.2,750.7,763.5,90,4,11.1,12.2,16,10.6,Rain
15,749.5,762.2,90,3,14.4,18.9,16,13.3,Rain
13.9,754.3,767,90,0,13.3,16.1,11,12.2,Rain
18.9,749,761.7,61,5,13.3,20,16,11.1,Rain
16.7,738,750.3,93,3,16.7,23.3,16,15.6,Rain
20,749,761.5,59,0,15.6,23.3,16,11.7,Rain
18.3,753.5,766.2,66,5,13.9,18.3,16,11.7,Rain
15,750.5,763,75,7,12.8,15,16,10.6,Rain
13.3,746,758.7,55,4,7.2,14.4,16,4.4,Rain
12.2,752.8,765.5,59,6,7.8,12.8,16,4.4,Rain
9.4,744,756.7,83,6,8.3,10,16,6.7,Rain
10,758.3,771.1,83,0,6.7,10,16,7.2,Rain
10.6,756.5,769.5,77,2,8.9,11.1,16,6.7,Rain
10.6,755.5,768.4,89,3,8.3,10.6,16,8.9,Rain
10,746.2,759.1,83,0,4.4,10.6,16,7.2,Rain
8.3,756.1,768.8,86,2,8.3,11.1,16,6.1,Rain
7.2,757.3,770.1,90,5,7.2,15.2,16,5.6,Rain
6.7,749.2,762,79,0,8.6,7.8,9,3.3,Rain
7.8,751.3,764.2,93,0,6.1,7.8,0.8,6.7,Rain
7.8,750,763,93,0,6.1,7.8,2.4,6.7,Rain
5,755.3,768.3,93,4,2.2,5,3.2,3.9,Rain
7.2,755.3,768.1,80,5,6.1,7.8,9,3.9,Rain
7.2,747.5,760.4,93,0,6.1,8.9,4.8,6.1,Rain
12.2,740,752.5,83,8,11.7,14.4,16,9.4,Rain
12.8,754,766.8,90,4,12.8,13.9,16,11.1,Rain
9.4,747.7,760.6,83,2,5.6,10,16,6.7,Rain
12.8,750.7,763.6,80,10,12.8,16.7,16,9.4,Rain
15,752.8,765.5,81,5,11.1,15,16,11.7,Rain
13.3,750.5,763.1,84,7,12.8,15,16,10.6,Rain
13.3,748,760.8,87,4,9.4,15,12,11.1,Rain
9.4,749,761.8,86,6,8.9,11.7,12,7.2,Rain
10,750.7,763.5,86,3,8.9,15.2,16,7.8,Rain
14.4,745.8,758.2,87,4,12.8,16.7,16,12.2,Rain
14.4,746,758.5,75,6,12.2,16.1,16,10,Rain
17.8,752,764.7,68,2,13.9,18.3,16,11.7,Rain
18.9,746.5,759,73,3,14.4,18.9,16,13.9,Rain
25.6,745.5,757.9,43,4,18.3,27.2,16,12.2,Rain
22.2,746.2,758.5,59,0,21.1,35.6,16,13.9,Rain
24.4,750,762.4,58,3,15.6,24.4,16,15.6,Rain
13.9,752,764.6,81,5,12.8,18.9,16,10.6,Rain
12.8,752.8,765.5,80,2,10,12.8,16,9.4,Rain
20,751.3,763.9,68,5,13.3,20,16,13.9,Rain
